,d3mIndex,timestamp,value,ground_truth
0,0,2016-09-03 16:00:00,0.2341910677954737,0
1,1,2016-09-03 16:05:00,0.2366572262083881,0
2,2,2016-09-03 16:10:00,0.2308873461480024,0
3,3,2016-09-03 16:15:00,0.2174863343949876,0
4,4,2016-09-03 16:20:00,0.2237215273633553,0
5,5,2016-09-03 16:25:00,0.2047615774016069,0
6,6,2016-09-03 16:30:00,0.2272827221533189,0
7,7,2016-09-03 16:35:00,0.2156250827625339,0
8,8,2016-09-03 16:40:00,0.2109037077884413,0
9,9,2016-09-03 16:45:00,0.1972452228928657,0
10,10,2016-09-03 16:50:00,0.1896389078885645,0
11,11,2016-09-03 16:55:00,0.1791445507679762,0
12,12,2016-09-03 17:00:00,0.1784931126966542,0
13,13,2016-09-03 17:05:00,0.1742370506306488,0
14,14,2016-09-03 17:10:00,0.1644871941630735,0
15,15,2016-09-03 17:15:00,0.1557858427816863,0
16,16,2016-09-03 17:20:00,0.1404770481054616,0
17,17,2016-09-03 17:25:00,0.1391989886512138,0
18,18,2016-09-03 17:30:00,0.1319401072849493,0
19,19,2016-09-03 17:35:00,0.1245168153578097,0
20,20,2016-09-03 17:40:00,0.1213309729804573,0
21,21,2016-09-03 17:45:00,0.1187934665882853,0
22,22,2016-09-03 17:50:00,0.1150492487211232,0
23,23,2016-09-03 17:55:00,0.1045548916006085,0
24,24,2016-09-03 18:00:00,0.1067201476663108,0
25,25,2016-09-03 18:05:00,0.1065805537938321,0
26,26,2016-09-03 18:10:00,0.099647391463281,0
27,27,2016-09-03 18:15:00,0.0909925713730703,0
28,28,2016-09-03 18:20:00,0.0917370720260097,0
29,29,2016-09-03 18:25:00,0.0878966894912988,0
30,30,2016-09-03 18:30:00,0.0842455342050186,0
31,31,2016-09-03 18:35:00,0.0799398387627459,0
32,32,2016-09-03 18:40:00,0.0808487499762451,0
33,33,2016-09-03 18:45:00,0.0779855245482545,0
34,34,2016-09-03 18:50:00,0.0757520225894362,0
35,35,2016-09-03 18:55:00,0.0711454247991108,0
36,36,2016-09-03 19:00:00,0.0701465530897153,0
37,37,2016-09-03 19:05:00,0.0662844559533801,0
38,38,2016-09-03 19:10:00,0.0661200453917696,0
39,39,2016-09-03 19:15:00,0.0674012069327893,0
40,40,2016-09-03 19:20:00,0.0666318895909282,0
41,41,2016-09-03 19:25:00,0.0667032375703959,0
42,42,2016-09-03 19:30:00,0.0646093294842664,0
43,43,2016-09-03 19:35:00,0.0618856979279139,0
44,44,2016-09-03 19:40:00,0.0661448620806913,0
45,45,2016-09-03 19:45:00,0.0609798888006613,0
46,46,2016-09-03 19:50:00,0.0553496026130695,0
47,47,2016-09-03 19:55:00,0.056348474322465,0
48,48,2016-09-03 20:00:00,0.0516953452415935,0
49,49,2016-09-03 20:05:00,0.0552317233430558,0
50,50,2016-09-03 20:10:00,0.050696473532198,0
51,51,2016-09-03 20:15:00,0.0537675387250478,0
52,52,2016-09-03 20:20:00,0.0526259710577678,0
53,53,2016-09-03 20:25:00,0.0517666932200104,0
54,54,2016-09-03 20:30:00,0.0526042564550927,0
55,55,2016-09-03 20:35:00,0.0511152551492138,0
56,56,2016-09-03 20:40:00,0.0491609409347224,0
57,57,2016-09-03 20:45:00,0.0510687238586678,0
58,58,2016-09-03 20:50:00,0.0484846861750041,0
59,59,2016-09-03 20:55:00,0.0466482512315772,0
60,60,2016-09-03 21:00:00,0.0475540603588298,0
61,61,2016-09-03 21:05:00,0.0503924690989495,0
62,62,2016-09-03 21:10:00,0.0484381548844581,0
63,63,2016-09-03 21:15:00,0.0502776919141315,0
64,64,2016-09-03 21:20:00,0.0480659045579884,0
65,65,2016-09-03 21:25:00,0.0504390003894955,0
66,66,2016-09-03 21:30:00,0.0518814704048283,0
67,67,2016-09-03 21:35:00,0.0534883509807209,0
68,68,2016-09-03 21:40:00,0.0553030713214727,0
69,69,2016-09-03 21:45:00,0.0550704148676918,0
70,70,2016-09-03 21:50:00,0.0576761671529799,0
71,71,2016-09-03 21:55:00,0.0569999123932615,0
72,72,2016-09-03 22:00:00,0.0650746423918282,0
73,73,2016-09-03 22:05:00,0.068027828315715,0
74,74,2016-09-03 22:10:00,0.0707266431820951,0
75,75,2016-09-03 22:15:00,0.0716355543955942,0
76,76,2016-09-03 22:20:00,0.0757520225894362,0
77,77,2016-09-03 22:25:00,0.0794993425430551,0
78,78,2016-09-03 22:30:00,0.0806843394156854,0
79,79,2016-09-03 22:35:00,0.0866651613270717,0
80,80,2016-09-03 22:40:00,0.0878966894912988,0
81,81,2016-09-03 22:45:00,0.0995077975908024,0
82,82,2016-09-03 22:50:00,0.0895035700671914,0
83,83,2016-09-03 22:55:00,0.0942497617293651,0
84,84,2016-09-03 23:00:00,0.1056716425800176,0
85,85,2016-09-03 23:05:00,0.1096981502780685,0
86,86,2016-09-03 23:10:00,0.1100455839161419,0
87,87,2016-09-03 23:15:00,0.1198171549860771,0
88,88,2016-09-03 23:20:00,0.1272869782039728,0
89,89,2016-09-03 23:25:00,0.1268681965867469,0
90,90,2016-09-03 23:30:00,0.1321944783414053,0
91,91,2016-09-03 23:35:00,0.1380357063809434,0
92,92,2016-09-03 23:40:00,0.1325915453562713,0
93,93,2016-09-03 23:45:00,0.1511575303892111,0
94,94,2016-09-03 23:50:00,0.1617666646937031,0
95,95,2016-09-03 23:55:00,0.1541355330009688,0
96,96,2016-09-04 00:00:00,0.1626042279283651,0
97,97,2016-09-04 00:05:00,0.1721183258558078,0
98,98,2016-09-04 00:10:00,0.1813098068336785,0
99,99,2016-09-04 00:15:00,0.1885221569091343,0
100,100,2016-09-04 00:20:00,0.1891022470012303,0
101,101,2016-09-04 00:25:00,0.1911744404852731,0
102,102,2016-09-04 00:30:00,0.2054812613661184,0
103,103,2016-09-04 00:35:00,0.2130441471656421,0
104,104,2016-09-04 00:40:00,0.2139499562934202,0
105,105,2016-09-04 00:45:00,0.2335861610150129,0
106,106,2016-09-04 00:50:00,0.2308873461480024,0
107,107,2016-09-04 00:55:00,0.2398927019626382,0
108,108,2016-09-04 01:00:00,0.249825581507412,0
109,109,2016-09-04 01:05:00,0.2570162169805604,0
110,110,2016-09-04 01:10:00,0.283957834359174,0
111,111,2016-09-04 01:15:00,0.2877734002054886,0
112,112,2016-09-04 01:20:00,0.2835855840327043,0
113,113,2016-09-04 01:25:00,0.2869823682617929,0
114,114,2016-09-04 01:30:00,0.2966143454592494,0
115,115,2016-09-04 01:35:00,0.2913563095978121,0
116,116,2016-09-04 01:40:00,0.2982894719284682,0
117,117,2016-09-04 01:45:00,0.3127824179727061,0
118,118,2016-09-04 01:50:00,0.3146684862929256,0
119,119,2016-09-04 01:55:00,0.3177395514868261,0
120,120,2016-09-04 02:00:00,0.3259042419802382,0
121,121,2016-09-04 02:05:00,0.3434713553048334,0
122,122,2016-09-04 02:10:00,0.3420505998911249,0
123,123,2016-09-04 02:15:00,0.3410517281817294,0
124,124,2016-09-04 02:20:00,0.3467502602635932,0
125,125,2016-09-04 02:25:00,0.3354679732846837,0
126,126,2016-09-04 02:30:00,0.3485897972932667,0
127,127,2016-09-04 02:35:00,0.3605235223429727,0
128,128,2016-09-04 02:40:00,0.3477987653497812,0
129,129,2016-09-04 02:45:00,0.3565683626244946,0
130,130,2016-09-04 02:50:00,0.3573128632774341,0
131,131,2016-09-04 02:55:00,0.3601760887043739,0
132,132,2016-09-04 03:00:00,0.3532181096862672,0
133,133,2016-09-04 03:05:00,0.3606631162156615,0
134,134,2016-09-04 03:10:00,0.3582683057814793,0
135,135,2016-09-04 03:15:00,0.3531715783946704,0
136,136,2016-09-04 03:20:00,0.3436791950696926,0
137,137,2016-09-04 03:25:00,0.3423080730338274,0
138,138,2016-09-04 03:30:00,0.3498678567480398,0
139,139,2016-09-04 03:35:00,0.3461701701712135,0
140,140,2016-09-04 03:40:00,0.3603373971797377,0
141,141,2016-09-04 03:45:00,0.3456800405747301,0
142,142,2016-09-04 03:50:00,0.3535221141195158,0
143,143,2016-09-04 03:55:00,0.3489155163291903,0
144,144,2016-09-04 04:00:00,0.35735939456798,0
145,145,2016-09-04 04:05:00,0.3485432660027206,0
146,146,2016-09-04 04:10:00,0.3590810523276399,0
147,147,2016-09-04 04:15:00,0.3799736019015408,0
148,148,2016-09-04 04:20:00,0.3898847668435343,0
149,149,2016-09-04 04:25:00,0.4037759081929274,0
150,150,2016-09-04 04:30:00,0.3983069304796489,0
151,151,2016-09-04 04:35:00,0.3898630522408592,0
152,152,2016-09-04 04:40:00,0.3988435913677291,0
153,153,2016-09-04 04:45:00,0.3967962145721458,0
154,154,2016-09-04 04:50:00,0.3949349629397971,0
