timestamp,true_value,predicted_score,anomaly
2014-02-03 21:15:00,98.74076,-71143161747.7518,False
2014-02-03 21:20:00,96.88283,-3232406810995.1094,False
2014-02-03 21:25:00,98.84176,-56928536126.75315,False
2014-02-03 21:30:00,97.47438,-1356140983648.2964,False
2014-02-03 21:35:00,97.49235,-3377882393360.5522,False
2014-02-03 21:40:00,98.62208,-20765378131.982353,False
2014-02-03 21:45:00,97.845146,-3081055549406.366,False
2014-02-03 21:50:00,97.46983,-244756461807.68106,False
2014-02-03 21:55:00,98.160065,-709595303423.1438,False
2014-02-03 22:00:00,98.167625,-7766327593.954822,False
2014-02-03 22:05:00,98.29199,-812041137.7738684,False
2014-02-03 22:10:00,96.52655,-129290848386094.4,False
2014-02-03 22:15:00,98.053535,-552383366277446.1,False
2014-02-03 22:20:00,97.99036,-8202511277.723035,False
2014-02-03 22:25:00,96.993645,-6281306925.217078,False
2014-02-03 22:30:00,97.634224,-54260206180.22388,False
2014-02-03 22:35:00,96.48217,-33062733617.430492,False
2014-02-03 22:40:00,97.357796,-603923530295.8445,False
2014-02-03 22:45:00,97.89606,-440662049403.8112,False
2014-02-03 22:50:00,97.13474,-201197936054.17386,False
2014-02-03 22:55:00,96.931046,-1755677404.4525185,False
2014-02-03 23:00:00,97.52597,-401242904460.2738,False
2014-02-03 23:05:00,95.95997,-408356205360.9797,False
2014-02-03 23:10:00,96.16932,-2389244779266.365,False
2014-02-03 23:15:00,96.88685,-34203718055.597557,False
2014-02-03 23:20:00,95.88116,-8959992333.907045,False
2014-02-03 23:25:00,96.50834,-62663990103493.016,False
2014-02-03 23:30:00,97.209305,-1667932428.6430938,False
2014-02-03 23:35:00,96.314064,-8022901083.179196,False
2014-02-03 23:40:00,96.68449,-1195396465.1473358,False
2014-02-03 23:45:00,96.29249,-3711873158.1635528,False
2014-02-03 23:50:00,96.641266,-158140847290.2183,False
2014-02-03 23:55:00,96.538445,-104580307155883.8,False
2014-02-04 00:00:00,96.88131,-1334572668646.0713,False
2014-02-04 00:05:00,95.81567,-31402418178825.01,False
2014-02-04 00:10:00,97.042854,-9363178566.853735,False
2014-02-04 00:15:00,97.692795,-1280179138.0256631,False
2014-02-04 00:20:00,95.87081,-6545691074713.615,False
2014-02-04 00:25:00,96.05914,-19466496020.361805,False
2014-02-04 00:30:00,96.34053,-1247157388584.5066,False
2014-02-04 00:35:00,97.26403,-113999916911.38354,False
2014-02-04 00:40:00,96.45402,-545727423.060751,False
2014-02-04 00:45:00,96.975716,-304804716523.76764,False
2014-02-04 00:50:00,97.903694,-240598024210.57178,False
2014-02-04 00:55:00,96.34744,-467502296070.13025,False
2014-02-04 01:00:00,96.76405,-31730877970.83261,False
2014-02-04 01:05:00,96.67316,-1941037801.4024632,False
2014-02-04 01:10:00,96.577095,-20463365008.973877,False
2014-02-04 01:15:00,96.10459,-548169609.6642337,False
2014-02-04 01:20:00,97.7959,-59800411.029451944,False
2014-02-04 01:25:00,96.64984,-5891461741.521833,False
2014-02-04 01:30:00,97.31858,-543185446282.2589,False
2014-02-04 01:35:00,96.82849,-6732101125.424226,False
2014-02-04 01:40:00,96.40232,-19226952496819.004,False
2014-02-04 01:45:00,96.817604,-147262001811.31967,False
2014-02-04 01:50:00,96.11611,-21437090887.441296,False
2014-02-04 01:55:00,96.401955,-4227070586569.7993,False
2014-02-04 02:00:00,97.11854,-29066970986.853565,False
2014-02-04 02:05:00,96.38703,-3615624721041.122,False
2014-02-04 02:10:00,96.2309,-23148092752075.242,False
2014-02-04 02:15:00,97.67799,-1573413079.0388026,False
2014-02-04 02:20:00,97.42125,-150958161256.89636,False
2014-02-04 02:25:00,97.53293,-312184589972164.94,False
2014-02-04 02:30:00,97.49513,-1327448606488.5781,False
2014-02-04 02:35:00,98.18175,-5581263364.06219,False
2014-02-04 02:40:00,96.98605,-4875902001.335418,False
2014-02-04 02:45:00,98.27735,-15837228904868.387,False
2014-02-04 02:50:00,97.29679,-145621770764.1233,False
2014-02-04 02:55:00,98.24038,-20583645428846.32,False
2014-02-04 03:00:00,98.27771,-1074595915144.9307,False
2014-02-04 03:05:00,98.649826,-16866992894759.475,False
2014-02-04 03:10:00,98.600685,-8440062385.127688,False
2014-02-04 03:15:00,98.00421,-1785192631.323048,False
